,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,MEDV
0,0.40771,0,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,21.7
1,0.26838,0,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,18.3
2,0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,25
3,11.1604,0,18.1,0,0.74,6.629,94.6,2.1247,24,666,20.2,13.4
4,2.3139,0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,19.1
5,9.72418,0,18.1,0,0.74,6.406,97.2,2.0651,24,666,20.2,17.1
6,0.10469,40,6.41,1,0.447,7.267,49,4.7872,4,254,17.6,33.2
7,24.3938,0,18.1,0,0.7,4.652,100,1.4672,24,666,20.2,10.5
8,4.03841,0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,19.6
9,0.16211,20,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,25.2
10,0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,19.6
11,0.61154,20,3.97,0,0.647,8.704,86.9,1.801,5,264,13,50
12,8.05579,0,18.1,0,0.584,5.427,95.4,2.4298,24,666,20.2,13.8
13,0.21409,22,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,24.8
14,0.34109,0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,25
15,0.79041,0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,22.1
16,0.03049,55,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,31.2
17,0.3494,0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,20.3
18,0.3692,0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,23.8
19,9.51363,0,18.1,0,0.713,6.728,94.1,2.4961,24,666,20.2,14.9
20,0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,20.2
21,0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,23.6
22,0.43571,0,10.59,1,0.489,5.344,100,3.875,4,277,18.6,20
23,0.52014,20,3.97,0,0.647,8.398,91.5,2.2885,5,264,13,48.8
24,12.2472,0,18.1,0,0.584,5.837,59.7,1.9976,24,666,20.2,10.2
25,0.26938,0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,21.6
26,0.0456,0,13.89,1,0.55,5.888,56,3.1121,5,276,16.4,23.3
27,0.0578,0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,37.2
28,0.82526,20,3.97,0,0.647,7.327,94.5,2.0788,5,264,13,31
29,3.47428,0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,21.9
30,0.54452,0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,17.8
31,0.14052,0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,28.1
32,0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,22.6
33,0.06129,20,3.33,1,0.4429,7.645,49.7,5.2119,5,216,14.9,46
34,0.97617,0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,15.6
35,0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,18.7
36,0.17331,0,9.69,0,0.585,5.707,54,2.3817,6,391,19.2,21.8
37,0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,26.6
38,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,18.9
39,0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,33.4
40,0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,24.7
41,0.04666,80,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,30.3
42,0.03548,80,3.64,0,0.392,5.876,19.1,9.2203,1,315,16.4,20.9
43,0.07022,0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,23.2
44,0.04297,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293,16.6,24.8
45,1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,13.2
46,0.19073,22,5.86,0,0.431,6.718,17.5,7.8265,7,330,19.1,26.2
47,0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,23.4
48,11.5779,0,18.1,0,0.7,5.036,97,1.77,24,666,20.2,9.7
49,0.03615,80,4.95,0,0.411,6.63,23.4,5.1167,4,245,19.2,27.9
